제목,장소,주소,기간,이미지url,상세url,세부장르,후기유무,줄거리,작품설명
늘근도둑 이야기,아트포레스트 아트홀 1관,서울특별시 종로구 동숭동 1-66,2022/03/05 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/02/0400012202_172169_01.218.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22001159,연극,O,"두 늙은 도둑의 노후 대책을 위한 마지막 한 탕! 그런데 하필 '그 분'의 미술관을…!

대통령 취임 특사로 감옥에서 풀려난 두 늙은 도둑이 마지막 한탕을 꿈꾸며 '그 분'의 미술관에 잠입하게 된다. 엄청난 부를 축적하고 엄청난 권위를 자랑하는 '그 분'의 미술관엔 세계적인 현대 미술가들의 작품이 소장되어 있지만 작품의 가치를 모르는 두 늙은 도둑은 '그 분'의 금고만을 노린다. 금고 앞에서 지난날을 회상하며 옥신각신 끊임없이 다투다가 결국 경비견에게 붙잡혀 조사실로 끌려간다. 있지도 않은 범행 배후와 있을 수도 없는 사상적 배경을 밝히려는 수사관과 한심한 변명 만을 늘어놓는 어리숙한 두 늙은 도둑의 대화는 점점 포복절도 웃음만….","어느덧 도둑질 33주년! 오늘도, 쉴 새 없이 턴다!
대한민국 No.1 오리지널 코믹극 연극 <늘근도둑이야기>

［View Point］ 
초단위로 빵빵 터지는 애드리브 맛집이 바로 여기!
관객과 소통하며, 함께 공연을 완성해나가는 연극의 재미와 웃음을 경험할 수 있는 대학로 유일무이 연극!

뻔한 로코가 지겨운 당신의 탁월한 선택!
부조리한 세상에 날리는 사이다 돌직구! 안타까운 세태를 꼬집는 통렬한 웃음!
흥행불변 대학로 코미디 연극의 오리지널이 돌아왔다!

환장 케미를 선사하는 환상의 콤비!
이성민, 강신일, 김원해 등 수많은 명배우들이 거쳐간 연극 <늘근도둑이야기>"
조각,댕로홀 (구.두레홀 1관),서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하,2016/11/19 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/16/11/0400011611_100970_0823.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22007314,연극,X,"비 내리는 어느 여름날, 한적한 시골마을에 은행 강도 사건이 일어난다.

용의자 희태와 순철은 경찰을 피해 가까스로 도주에 성공하고
사람들의 발길이 끊긴 허름한 폐가에 잠시 머물기로 하는데...
그 곳엔 이미 은행 여직원인 영희가 기다리고 있다.
우연인지 필연인지 모르는 상황에 영희는 알수 없는 말만 늘어놓는다.

낯설지만 낯설지 않은 공간
그리고 그 곳에서 일어나는 알 수 없는 일들

수수께끼처럼 얽혀있던 기억의 조각들이 하나씩 맞춰지기 시작하는데 ...","노약자나 임산부는 관람을 삼가주시기 바랍니다.
연이은 매진행진! 예매를 서두르세요!

대학로 중심부 최초 공포스릴러 전용관오픈
유료객석 점유율 91%
공포 연극 사상 최단 기간 관객 5만명 돌파

이런 분들께 추천합니다!
*데이트 코스 1순위
썸타고 있는 모든 대한민국 남녀의 진도 나가기 1순위

*밍숭맹숭~ 권태기에 빠진 연인들
처음 느낀 그 설렘으로 돌려 드립니다

*혼자라고 외로워 마라!
혼자 봐도 재밌는 공포연극 들어올 땐 싱글이었지만
나갈땐 커플이 될 수도 있습니다♡"
토크송 1984,대학로 선돌극장,서울 종로구 명륜동1가 46-11,2023/08/24 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191425_01.245.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010541,연극,X,줄거리 없음,작품설명 없음
슬기로운 신혼생활,아루또 소극장 (소담소극장),서울 종로구 동숭동 1-47 연경빌딩 4층,2022/04/07 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_173723_01.801.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22003204,연극,X,줄거리 없음,작품설명 없음
그로토프스키 트레이닝,아르코예술극장 소극장,서울시 종로구 동숭동 1-111,2023/08/26 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192062_01.610.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011341,연극,X,줄거리 없음,작품설명 없음
오마이갓,"대학로 오마이갓 전용관(구, 키득키득아트홀)",서울특별시 종로구 동숭동 128-5 지하2층,2023/04/22 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186701_01.213.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004562,연극,X,줄거리 없음,작품설명 없음
쇼팔다 미친 유령 극단,수유연극실험실,서울특별시 강북구 수유동 30-57 지층,2023/09/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191451_01.209.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010578,연극,X,"공연 당일까지 예매 관객이 한 명도 없어 길거리로 나와 연극 홍보를 감행하는 극단원들. 그러나 그들의 행위는 제대로 된 관심 하나 받지 못한다. ‘많은 관심’을 외치는 그들에게 마치 포기하기를 바라는 듯 칠흑 같은 ‘무관심’만 돌아올 뿐이었다. 

매정한 현실을 벗어나기 위해 그들의 ‘빛’이 있는 극장으로 향하지만 믿을 수 없는 일이 눈앞에 벌어진다. 마치 처음부터 아무것도 없었던 것처럼 극장이 사라진 것이다. 

이대로 공연을 포기하느냐, 그럼에도 올리느냐, 두 갈림길에 서게 된 그들에게 한 줄기 빛이 될 한 사람이 등장한다. 과연 그들은 무사히 공연을 올릴 수 있을까?","“정착하는 마음으로”

어떻게 해서든 정착을 해야겠다는 각오를 하게 된 이유가 있었습니다. 각박한 현실은 연극인이라는 정체성을 시도 때도 없이 뒤흔들곤 하였습니다. 첫 출발은 분명한 목표를 가지고 출발했다고 생각하였지만 정신차리고 보면 이 사회 속에서 그저 떠돌고 있는 유령이 되어있었습니다. 이대로 가다간 내 삶도, 연극인으로서의 삶도 흐려질 것만 같았기에 약간의 무모함과 케케묵었던 용기를 가지고 연극 공간을 만들고야 말았습니다.
 계약서에 서명을 한 뒤 문득, 빈 공간을 바라보니 그것 자체가 굉장한 큰 위안과 힘이 되었고, 무언가를 시도할 수 있다는 기대감과 상상력이 커졌습니다. 

 수유연극실험실을 만들어가면서 평소 생각지도 않았던 한 작품이 떠올랐습니다. 바로, 류보미르 시모비치의 <쇼팔로비치 유랑극단> 입니다. 먼 이야기로 느껴졌던 유랑극단의 삶과 정착하기 전 나의 삶과 겹쳐 보였습니다. 먹고 잘 수 있는 집이 있고, 돈을 벌 수 있는 직장도 있지만 연극을 하기 위해 두 발바닥 온전히 붙일 만한 곳을 찾지 못해 그랬을까요?

""나는 어쩌면 현실판 유랑극단이 아니었을까?"" 

연극을 하고 싶었고 연극을 계속해서 해 나아가고 싶었으며 연극을 함께 만들어 갈 사람들이 필요했습니다. 지속 가능한 연극 작업을 원했던 간절함으로 수유연극실험실을 만들었고, 연극에 간절한 사람들을 불러 모은 이 마음을 개관 기념 공연에 담고 싶었습니다.

<쇼팔다 미친 유령 극단>을 직접 각색하였지만 이들이 연극하는 마음은 역할을 수행하는 실제 배우들의 마음으로 채워지길 바랍니다 이는 곧 수유연극실의 마음이기도 합니다. 이 뜨거운 마음을 지켜봐주시겠습니까?"
시간을 파는 상점,파랑씨어터 (구.도향아트홀),서울 종로구 동숭동 1-57 3층,2017/06/17 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/17/06/0400011706_110360_0736.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012922,어린이/가족,O,줄거리 없음,작품설명 없음
사춘기 메들리,대학로 아티스탄홀,서울 종로구 동숭동 1-35 아티스탄홀,2018/03/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/02/0400011802_121864_0322.258.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21002176,연극,X,줄거리 없음,작품설명 없음
핫 식스,도토리씨어터,서울특별시 종로구 동숭동 1-89 지하2층,2023/04/03 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185983_01.544.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003616,연극,X,줄거리 없음,작품설명 없음
행오버,정극장 (구 M시어터),서울 종로구 동숭동 1-92 태원빌딩 3층,2023/01/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_183033_01.548.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005704,연극,X,줄거리 없음," 
모든 일은 파라다이스 호텔 506호에서 시작된다.
남편(철수)의 외도를 알게 된 지연(부인)은 이벤트 업체를 이용해서 남편에게 사과를 받고 싶어한다.
이벤트 업체 대표 태민은 지연의 계획대로 철수에게 사과를 받아보려고 했지만,
만취한 철수는 지연을 506호에서 살해한다.
당황한 이벤트 업체 대표 태민은 철수를 급하게 507호로 옮기고 4시간만 대실한다.
술이 깬 철수에게 지난 밤 일을 설명하지만, 철수는 기억나지 않는다.
506호 살인 사건을 조사 중인 경찰이 507호를 방문하지만,
태민의 임기응변으로 위기를 넘긴다.
그런데, 507호에는 다른 2명이 더 있다.
초능력이 있다고 주장하는 508호 케이(남)
자살하기 위해 호텔을 찾은 509호 엠마(여)
케이와 엠마 두명 역시 술을 먹고 깨어보니 507호라는 황당한 말을 전한다.
507호에 만난 태민, 철수, 케이, 엠마!
만약, 경찰이 507호로 들이닥치면 4명 모두 공범이 되는 상황.
이런 말도 안되는 상황을 믿어 줄 경찰은 없다.
4명은 서로를 의심하며 서로에게 자백을 강요하기 시작하는데...
이들 4명에게 주어진 시간은 대실 4시간!
4시간 안에 모든 것을 밝혀내야 되는 상황에서
4명의 비밀이 하나씩 드러난다.
 "
나의 PS 파트너,아트포레스트 아트홀 2관,서울특별시 종로구 동숭동 1-66,2023/03/03 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184867_01.538.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002001,연극,X,줄거리 없음,작품설명 없음
리미트,JTN 아트홀 2관,서울 종로구 이화동 139번지 JTN아트홀,2018/08/08 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/07/0400011807_129148_0517.553.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009138,연극,O,줄거리 없음,작품설명 없음
죽어야 사는 남자,업스테이지,서울특별시 종로구 동숭길 41 (동숭동),2022/05/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_174002_01.340.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22004587,연극,X,줄거리 없음,작품설명 없음
택시 안에서 - 부산,부산 해바라기 소극장,주소:,2019/03/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/01/0400011901_137782_0818.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001540,연극,X,줄거리 없음,작품설명 없음
두 여자 - 대구,하모니아 아트홀(동성로극장),대구시 중구 동성로3가 120-21번지,2022/07/09 ~ 2023/10/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/06/0400012206_176472_01.039.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008371,연극,X,줄거리 없음,작품설명 없음
스위치 - 전주,전주 한해랑아트홀,전북 전주시완산구 효자동2가 1155-10 돌핀빌딩 3층 301호 한해랑아트홀,2023/07/07 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187528_01.954.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005718,연극,X,줄거리 없음,작품설명 없음
쇼팔로비치 유랑극단 - 인천,남동소래아트홀 소래극장(구 남동문화예술회관),인천 남동구 논현동 767-4,2023/09/01 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191971_01.652.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011194,연극,X,줄거리 없음,작품설명 없음
택시 안에서,해바라기 소극장,서울시 종로구 동숭길 76 지하1층(동숭동).,2018/10/12 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/10/0400011810_132202_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18013732,연극,X,줄거리 없음,작품설명 없음
크레이지 패밀리 - 부산,BNK부산은행 조은극장 2관,부산광역시 중구 구덕로 34번길 4 뉴남포빌딩 3층(남포동 2가 25-10),2023/07/27 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190077_01.532.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008855,연극,X,"돈 많은 장인과 갑질갑 부인에게 큰 소리 한 번 못내고 살던 왕성기 박사
그래도 그런 처갓집 덕분에 젊은 나이에 개인 병원을 소유하며
책 출판은 물론, 방송에도 출연하며 핫한 인플루언서 의사가 된다.

아쉬울 것 없는 완벽 그 잡채인 그에게도
남들에게 말 못할 은밀하고 숭한 취미생활(?)이 있었으니
""사랑에 빠진 게 죄는 아니잖아!""
바로, 와이프를 제외한 이 세상 모든 여자들과 사랑을 나눈 것!

여느 때와 다름없이 진료를 보며 평범한 하루를 보내던 성기에게
비서 면접을 보러 온 태리가 눈에 띄게 되고
제 버릇 개 못 주고 합격을 조건으로 말도 안되는 신체검사를 제안하는데...

사회경험 ZERO! 어리버리 취준생 태리는 순순히 탈의를 하고
오랜만에 취미생활 할 생각에 들뜬 성기가 숭한 신체검사를 하려는 순간
갑자기 들이닥친 부인과 의문의 남자?!
게다가 업친데 덮친 격으로 병원을 조사하러 출동한 경찰과 장인어른까지!

이번엔 꼬여도 제대로 꼬였다
숨기려는 자와 찾으려는 자의 스릴만점 대환장 추격전
과연, 성기는 무사히 취미생활을 계속 할 수 있을까?","[VIEW POINT 01.]

애들은 가라! Adult Only!
지금까지 이런 섹코미디 연극은 없었다!
신선도 100% 유쾌하고 도발적인 으른용 29금 코미디
90분간 무대 위에서 터지는 섹드립과 쉴 틈 없는 웃음 포텐
지금껏 보지 못했던 숭하다 못해 매코~옴한 섹코미디 커밍쑨!

[VIEW POINT 02.]

살벌하게 웃기는 소동극!
예측불가! 땀샘개방! 무근본 그 잡채 #크레이지패밀리
들킬 듯 말 듯! 아슬아슬하게 펼쳐지는 웃음 포텐
생각하기를 포기하게 만드는 살 떨리는 거짓부렁 티키타카
스릴 쫌 즐길 줄 아는 어른이라면? 나 믿고 <크레이지패밀리> 한 번 잡솨봐

[VIEW POINT 03.]
믿고 보는 대환장 케미
태초부터 맛 간 제작진과 실력파 배우들의 쫀쫀한 호흡
이래도 되나 싶은 조 오튼의 참심한 대본과 한성운 연출의 쌔끈한 각색
그리고 똘끼 충만한 배우들의 연기가 만나 탄생한 섹다른 세계로 초대합니다!"
딜리버리,대학로 아티스탄홀,서울 종로구 동숭동 1-35 아티스탄홀,2023/03/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184881_01.437.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23001991,연극,X,줄거리 없음,작품설명 없음
극적인 하룻밤,"JS아트홀(구,고스트씨어터)",서울특별시 종로구 동숭동 25-11,2023/07/26 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189913_01.310.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008636,연극,O,줄거리 없음,작품설명 없음
스켈레톤 크루 - 고양,고양시 터 씨어터(여래사 내),경기 고양시일산동구 마두동 810,2023/08/31 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191720_01.055.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010930,연극,X,제목인 ‘스켈레톤 크루’는 보통 ‘작업을 할 수 있는 최소 인원’을 일컫는 말이기도 하지만 또한 살이 다 떨어져나가고 죽어가는 공장에서 뼈대처럼 남아있는 마지막 노동자들을 연상시키는 제목이기도 하다. 디트로이트에 남은 마지막 자동차 박막 성형 공장의 노동자들은 상황을 낙관하지 않는다. 공장이 문을 닫더라도 어떻게 살아남아야 할지를 고민하면서 자신들의 미래를 계획한다. ,"그럼에도 불구하고 ... 살아가다!!

“노동은 결국 세상을 바꿀 것이고, 노동하는 우리들의 ‘연대’가 
나아지지 않을 세상을 버티게 해줄 것이다.”

<스켈레톤 크루>는 구조조정에 직면한 노동자가 자신의 생존과 노동의 가치에 대해 고민하는 모습을 그린 작품이다. 제조업의 철폐는 생존에 관한 문제이자 전체 경제의 침체라는 사회 구조적인 문제를 만들어내는 심각한 이슈다. “사람들이 차를 만들던 도시가 이제는 사람들이 차에서 사는 도시가 되어간다.” 노동은 노동자의 삶을 지탱해주는 물질적인 기반일 뿐 아니라 그들의 정체성을 만들어내는 역할을 한다. 하지만 이를 잃었을 때 노동자는 자신의 정체성마저 잃을 위기에 처한다. 이를 뚫고 나가는 방법은 무엇일까? <스켈레톤 크루>의 작가 도미니크 모리소는 ‘노동자의 연대’가 그 길임을 보여준다. 

‘노동자들의 도시’라는 자긍심이 넘쳐났던 도시 디트로이트! 
2008년 세계 경제 침체로 인해 결국 파산을 선언한다. 
미국 가치의 몰락으로 상징되었던 자동차 도시의 파산. 
그러나 그곳에는 마지막까지 노동현장을 지키던 노동자들이 있었다"
"인간, 짐승",한성아트홀 2관,서울시 종로구 명륜2가 41-4,2023/08/30 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192418_01.818.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011768,연극,X,줄거리 없음,작품설명 없음
눈알들 - 부천,부천 시민회관 소공연장,경기 부천시원미구 중동 788번지,2023/08/30 ~ 2023/09/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192456_01.359.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011808,연극,X,줄거리 없음,작품설명 없음
괴담,우리소극장,경기도 고양시 일산구 마두2동 797-2 뉴코아 아울렛 9층,2023/04/27 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187097_01.457.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005099,연극,X,줄거리 없음,작품설명 없음
카지노,"대학로 스타시티 카지노 전용관(구, 타이니앨리스)",서울특별시 종로구 명륜동4가 113-1 아트홀 스타시티,2023/04/28 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187326_01.015.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005252,연극,O,줄거리 없음,작품설명 없음
새빨간 거짓말 - 부산,부산 메트로홀 (구.AN아트홀 광안),부산 수영구 광안동 473-2 광안지하철역 지하1층 상가1호 (구 AN아트홀 광안),2023/06/23 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187500_01.358.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005687,연극,X,줄거리 없음,작품설명 없음
기억의 숲 - 부산,BNK부산은행 조은극장 1관,부산광역시 중구 구덕로 34번길 4 뉴남포빌딩 3층(남포동 2가 25-10),2023/07/20 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189338_01.356.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007921,연극,X,"동그라미 그리려다 무심코 그린 얼굴....

어둡고 칙칙한 취조실, 한 남자와 범인이 마주 앉아 있다.
17명을 잔인하게 살해하고 마치 영안실에 시체를 안치하듯
자신의 집 지하실 사물함에 보관한 희대의 살인마는 종신형을 선고 받게 된다.

학대와 방임으로 유아기를 보낸 범인의 머릿속에 
지독한 냄새를 풍기는 기억의 공간들이
마치 영안실처럼 안치되어 있다.

연쇄살인마의 심리 치료를 담당하게 된 정신과 의사는
팽팽한 긴장감이 감도는 가운데 정신 감정을 시작하고
그 과정에서 연쇄살인마의 가슴 아픈 과거사를 알게 된다.

과연 그가 밝혀낸 연쇄 살인마의 기억은 무엇일까?
점점 혼란으로 빠지게 되는 연쇄 살인마의 기억,
그리고 허를 찌르는 놀라운 반전은 계속 되는데...

무엇이 그토록 그를 희대의 연쇄 살인마로 만들어버렸는가?
퍼즐과도 같은 기억 속 진실은 과연 무엇일까?

2023년 여름 가장 충격적인 진실과 마주한다.","[VIEW POINT 01.]
어둡고 희미한 기억의 숲
그 속에 숨겨진 진실

날이 갈수록 흉악해져 가는 현대사회.
무려 17명을 살해하고 자신의 지하실 창고 사물함에 시체를 보관한 희대의 살인마가 있다.

어린 시절의 암울한 학대와 잔혹한 가족사로 인해
싸이코패스가 된 연쇄살인마의 심리치료 과정을 통해 
새롭게 알게 되는 또 다른 충격!

사건 속의 또 다른 진실이 지금 밝혀진다.

[VIEW POINT 02.]
연극 흉터 제작진의 기억 3부작 중 <기억의 숲>
촘촘히 짜여진 극본과 탄탄한 연출!
어두운 조명이 낮게 깔린 무대와 점층적인 음향효과!
섬세한 심리 변화 과정을 표한하는 배우들의 치밀한 연기!
스토리, 연출, 연기 - 3가지 요소의 시너지 효과는
심장을 죄어 오는 긴장감과 함께 정통 심리스릴러의 진수를 선사한다."
토치 오브 프리덤,대학로 극장 동국,서울시 종로구 명륜2가 13번지,2023/08/23 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191477_01.954.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010598,연극,X,"1920년 미국의 어느 선전 회사. 기업의 의뢰를 받아 제품이 잘 판매되도록 일을 맡아 하던 이들에게 담배 회사에서 이미지 변신과 함께 매출 성장을 요구합니다. 이미 담배라는 상품은 호황기에, 높은 판매율을 자리매김하였는데 이를 어떻게 해결할지 이들은 고민에 빠지게 됩니다.","현대에는 매체에서 수많은 광고를 접하지만, 당시에는 광고라는 단어보다는 ‘선전’이라는 단어가 더 많이 활용되던 시절입니다. 그러다 보니, ‘선전가’라는 직업이 있었으며 이들은 현대의 인식과는 달리 많은 중요한 사건에 항상 존재했습니다. 

우리가 살아가는 이 사회에도 거짓정보가 난무합니다. 여러 언론이 발전함으로써, 다양한 정보를 쉽게 얻을 수 있게 되었지만 반대로 허위 정보에도 우린 진실처럼 받아들이게 됩니다. 

진실을 판단할 수 있는 자신만의 중심이 필요하다고 생각합니다. "
자취,댕로홀 (구.두레홀 1관),서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하,2020/02/28 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/01/0400012101_162767_01.851.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007488,연극,X,줄거리 없음,작품설명 없음
두 여자,스카이씨어터,서울특별시 종로구 동숭동 1-48,2023/01/27 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183867_01.440.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000789,연극,X,줄거리 없음,작품설명 없음
서교동에서 죽다 - 여수,GS칼텍스 예울마루 소극장,전라남도 여수시 시전동 1003,2023/09/01 ~ 2023/09/02,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190231_01.729.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008956,연극,X,줄거리 없음,작품설명 없음
