제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
칠칠,예스24스테이지 2관,서울 종로구 동숭동 1-52,2023/09/05 ~ 2023/11/26,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191436_01.814.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010551,창작,O,,,줄거리 없음,작품설명 없음
후크,아트원씨어터 2관,서울시 종로구 동숭동 1-181 SW빌딩,2023/09/05 ~ 2023/11/26,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191859_01.953.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011101,창작,O,,,줄거리 없음,작품설명 없음
회상록,플랫폼74,서울 종로구 동숭동 50-44번지 지층,2023/09/05 ~ 2023/09/10,,,창작,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191315_01.514.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010364,줄거리 없음,작품설명 없음
더페인팅,대학로 SH 아트홀,서울 종로구 동숭동 1-131,2023/09/06 ~ 2023/09/17,,,창작,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192141_01.703.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011423,줄거리 없음,작품설명 없음
앤,은평문화예술회관,서울 은평구 녹번동 85-4,2023/09/06 ~ 2023/09/07,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192474_01.155.gif,후기탭 없음,줄거리 없음,작품설명 없음
라스트 세션,대학로 티오엠 1관,서울특별시 종로구 대학로8가길 85(동숭동 1-80),2023/07/08 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188724_01.711.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007040,연극,O,,,"에이번리의 기차역에서 누군가를 간절히 기다리는 11살 소녀 ‘앤’. 깡마른 몸매의 앤은 빨간 머리를 휘날리며 친구들과 상상의 시간을 보낸다. 멀리서 들려오는 발걸음 소리, 바로 초록 지붕 집의 ‘매슈’다. 예정된 남자아이가 아니지만 매슈는 무엇에 홀린 듯 앤을 집으로 데려가는데... 과연 마릴라와 매슈는 말괄량이 소녀 ‘앤’을 입양하게 될까?","마릴라, 매슈를 통해 깨닫는 ’가족의 소중함과 사랑‘은 ’앤‘이 불우한 어린 시절을 이겨내고, 진정한 ’앤, 나 그 자체‘의 모습을 찾아갈 수 있는 원동력임을 담아내고자 하였다. 연주와 연기 퍼포먼스, 그리고 무대예술이 만들어내는 앤의 천방지축 엉뚱 발랄한 성장일기가 평범하고 지루한 일상에 지친 현대인의 마음속에 활기를, 자라나는 청소년에게 꿈과 희망이 가득 찬 미래에 대한 힘찬 응원을 주었으면 한다."
3일간의 비,이해랑 예술극장,서울특별시 중구 필동 3가 26번지,2023/07/25 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188608_01.340.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007658,연극,O,,,줄거리 없음,작품설명 없음
토카타,LG아트센터 서울 U+ 스테이지,서울특별시 강서구 마곡동 812 LG아트센터 서울,2023/08/19 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190539_01.114.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=L0000044,연극,O,,,"“봐, 다시 시작됐어! 엄청 쏟아진다”.

워커는 미국의 유명 건축가 네드 제인웨이의 아들이다.
워커는 아버지 네드가 사망한 직후 돌연 자취를 감췄다가
어느 날 맨하튼의 작고 허름한 아버지의 아파트로 돌아온다.
이 아파트는 아버지 네드와 아버지의 친구 테오가 한때 살았던 곳이다.

워커와 그의 누이 낸은 아버지의 유산을 상속받기 위해
어린 시절부터 친구인 핍 (테오의 아들)과 함께 변호사를 찾아가 아버지 네드의 유언을 듣는다.
하지만 놀랍게도 네드는 그가 남긴 건축물 중에 가장 유명하고 값비싼
‘제인웨이 하우스’를 그의 자식들이 아닌, 테오의 아들 핍에게 물려준다.
유산 상속을 둘러싸고 워커와 핍은 갈등을 벌이고…

핍을 만나기 전 아파트에서 우연히 발견한
아버지 네드의 낡은 ‘일기장’에서 워커는 낸과 함께 마치 암호처럼 기록된 내용들을 해석하며 과거의 진실에 다가가려 노력한다.

1960년 4월 3일 - 5일, 삼일간 비

아버지 네드의 일기장 속 기록들은 과연 어떤 진실을 담고 있는 것일까… ","“나에게 3일간의 비가 내렸다.”

연극〈3일간의 비〉는 2003 토니상(Tony Awards) 수상자인
리차드 그린버그의 작품으로 하나의 공간, 다른 시대적 배경을 1막과 2막에 나눠
부모 세대와 자식 세대의 사건을 배우들이 1인 2역으로 표현한다.

6년 만에 돌아온 연극〈3일간의 비〉는 9인의 명품 캐스팅 라인업으로
이들이 보여줄 시너지에 대한 기대감을 증폭 시키며
새롭게 업그레이드된 무대 구현을 통해 빗소리 가득한 매력적인 공연을 보여줄 예정이다.

또한 연극 〈3일간의 비〉 만의 차별화된 독특하고 짙은 감성으로 관객들은 비에 젖어가듯 서서히 감정에 스며들며 깊고 진한 여운을 갖게 될 것이다. "
이 불안한 집,명동예술극장,서울 중구 명동1가 54,2023/08/31 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191319_01.134.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010368,연극,O,,,"한 여자…
유일하게 곁을 지키던 늙은 개를 떠나보낸, 늙은 여인은
마음 둘 곳이 없어 걷고 또 걷는다.
그러다 가끔 그녀는 하나뿐인 친구를 찾아간다.
자신을 어루만져주는 유일한 친구를.

한 남자…
바이러스에 감염되어 위중한 상태에 빠진, 중년의 남자는
인공호흡장치를 단 채 사경을 헤맨다.
어지러운 코마의 심연 속에서, 고독 속에서
그는 자신이 어루만졌던, 자신을 어루만졌던 손길을, 사랑하는 사람을,
그 기억들을 떠올린다.

명실상부 한국 연극계의 거장 손진책 연출
인간과 삶에 대한 통찰을 보여주는 독보적 위상의 극작가 배삼식의 극본
파격과 새로움으로 무에서 유를 창조하는 이태섭의 무대미술
심상을 빛으로 표현하는 빛의 연금술사 김창기의 조명
한국 패션의 선구자, 의상 디자이너 진태옥의 무대의상
장르를 넘나드는 극음악의 대가 작곡가 최우정의 음악 등,
한국 최고의 스태프들이 함께 이뤄낼 미학적 완성!","때론 강한 생명력을 지닌 어머니로,
때론 냉철한 지성과 욕망을 갖춘 여성으로,
한 평생을 한국 연극과 함께 했던 배우 손숙,

연극인생 60년,
다시 초심으로 돌아가 새로운 형식의 연극을 꿈꾸다!

Toccata is touch
촉각, 생명이 지닌 최초의 감각
피부, 존재의 경계
그 위에 새겨진 마주침과 기억들
외로운 살갗들이 들려주는 이야기"
쉬어매드니스,콘텐츠박스(KONTENTZ BOX),서울 종로구 동숭동 1-145 대학빌딩 B1,2015/11/12 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/15/10/0400011510_84757_01235.731.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19018229,연극,O,,,"전쟁을 승리로 이끌기 위해 신의 뜻을 받들어 끔찍한 선택을 하는 아가멤논. 그의 딸 이피지니아가 죽고 이 집안은 피의 복수로 서서히 물들어가기 시작한다. 계속되는 불안과 광기, 의심과 배신, 죄책감 속에서 얽히고 얽힌 갈등은 또 다른 희생과 복수를 낳는다. 마치 이 집안을 괴롭히는 저주가 영원히 끝나지 않을 것처럼...","그리스 대표 비극 아이스킬로스 「오레스테이아」의 새로운 탄생!

로열코트씨어터, 영국국립극장 등 유수한 극장에서 활발히 활동하고 있는 극작가 지니 해리스가 아이스킬로스 「오레스테이아 3부작」을 재해석한 <이 불안한 집>! 해외 고전에 현대적 감각을 가미한 시의성 짙은 작품으로 전 세계적 인정을 받은 지니 해리스의 <이 불안한 집>이 오는 8월 31일 국립극단에 상륙한다!

2016년 영국 초연 당시 평단과 관객의 큰 호평을 받은 극작가 지니 해리스의 작품이 2017년 동아연극상 신인연출상을 수상한 이래 활발히 활동 중인 연출가 김정의 도전적이고 세련된 연출로 관객과 만난다. 무대 위 15명의 배우와 연출가 김정 특유의 감각으로 선보일 하반기 최고 기대작 <이 불안한 집>. 그들의 쫀쫀한 호흡과 압도적인 앙상블을 통해 전개되는 가족 간의 피 어린 복수! 돌아오는 가을, 오직 국립극단 명동예술극장에서 단 4주간 만나볼 수 있는 뜨거운 현장을 절대 놓치지 말자."
불편한 편의점,대학로 스타시티 후암 씨어터,서울특별시 종로구 명륜동4가 113-1 아트홀 스타시티,2023/04/08 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186172_01.703.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003651,연극,O,,,줄거리 없음,작품설명 없음
진짜나쁜소녀,JTN 아트홀 1관,주소정보없음,2023/03/17 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185835_01.631.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005776,연극,O,,,줄거리 없음,작품설명 없음
테베랜드,충무아트센터 중극장 블랙,서울특별시 중구 흥인동 131번지,2023/06/28 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188101_01.641.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006433,연극,O,,,줄거리 없음,작품설명 없음
2호선 세입자,바탕골 소극장,서울시 종로구 동숭동 1-60번지,2022/01/14 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/12/0400012112_171268_01.421.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013249,연극,O,,,줄거리 없음,작품설명 없음
라면,해피씨어터,서울시 종로구 동숭동 1-60번지 지하 1층,2021/01/16 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/20/12/0400012012_162545_01.349.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20011346,연극,O,,,줄거리 없음,작품설명 없음
스위치,아스가르드 씨어터 (구. 낙산씨어터),서울 종로구 혜화동 201번지 지하,2022/02/11 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/01/0400012201_172074_01.905.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22001006,연극,O,,,줄거리 없음,작품설명 없음
옥탑방 고양이 - 틴틴홀,대학로 틴틴홀,서울 종로구 동숭동 1-97,2010/04/06 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/10/03/0400011003_15408_01332.126.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013096,연극,O,,,"손대는 작품마다 대박행진을 이끌어낸 연극계 흥행신화의 주인공 고연출. 5년만에 재공연되는 <로미오와 줄리엣> 연습에 한창이다. 극의 주인공으로 출연하게 된 지혜와 달수는 성공에 눈이 먼 고연출의 강압적인 훈련방식에 점점 지쳐가고 급기야 극장에서 환청을 듣거나 귀신을 보는 등 기이한 현상들을 경험하게 된다. 한편, 과거 극장에서 일어난 불미스러운 사건을 조사하던 유기자는 고연출의 연속된 공연 흥행과 과거의 사건이 밀접한 관련이 있음을 직감하고 그의 수상한 행적을 쫓기 시작한다.","출입구부터 무대까지 관객의 눈길과 손길이 닿는 곳은 모두가 공포의 현장이 된다.
그동안 공포연극이 갖고 있던 고정관념과 패러다임을 모조리 [스위치]한, 무대 위에서 생생하게 되살아나는 4D공포의 개막! 누구나 생각할 수 있지만 아무나 따라할 수 없는 감각적이고 화려한 공포의 결정판!"
한뼘사이,라온아트홀,서울 종로구 동숭동 1-61,2021/03/19 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/03/0400012103_163913_01.217.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22014277,연극,O,,,줄거리 없음,"서울 종로구 창신동, 보증금 500-월세 30!
서울 시내가 다 보이는 옥탑방!
보증금 다 박고 서울 상경한 작가 지망생 정은과
월세 선불 내고 집 나온 건축학도 경민!
이중계약으로 엮인 두 청춘남녀의 버라이어티한 옥탑방로맨스!"
스고파라갈,홍익대 대학로 아트센터 소극장,서울시 종로구 연건동 128-8 (대학로 57번지),2023/08/24 ~ 2023/09/17,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192712_01.529.gif,후기탭 없음,줄거리 없음,작품설명 없음
너의 목소리가 들려,도토리씨어터,서울특별시 종로구 동숭동 1-89 지하2층,2023/04/03 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186091_01.209.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003750,연극,O,,,"무언가 비틀리고 뒤집힌 장소, 스고파라갈. 이곳에 일곱 인간이 도착한다. 자신이 어디서 온 누구인지, 어디로 가야 하는지를 거듭 묻지만, 그 누구도 기원과 방향을 파악하지 못한다.

혼란스러워하는 인간들 앞에 한 명의 땅거북이 등장한다. 그는 “바다로 가야 한다”는 말만 거듭할 뿐 계속 스고파라갈 둘레만 빙빙 돌고 있다. 갑자기 나타난 땅거북을 지켜보던 인간들은 얼핏얼핏 어슴푸레 건너건너 들었던 이야기를 꺼내놓기 시작한다. 윈다 스찰 선생과 크스머로닐 양반이 반했던 장소이자, 냐파스에 해적들, 드랜글링 해군들, 아니포리캘 광산업자들까지 너도나도 찾던 곳, 스고파라갈. 모든 것이 거꾸로 돌아가는 이 세계에서 땅거북은 왜 자꾸 바다로 가야 한다는 걸까? Quo Vadis, 땅거북!","자본주의가 만들어낸 뒤틀린 세계, 스고파라갈
자본주의의 폭주가 불러온 기후 변화와 생태계 파괴. 자연의 섭리를 거스른 인간들의 선택은 결국 모든 것이 뒤집힌 세계, 스고파라갈을 만들어낸다. 뒤틀린 세상 속 우리는 과연 모든 것을 제대로 알고, 보고 있을까. 스고파라갈을 둘러싼 무분별한 개발에 살아갈 땅을 잃은 땅거북이 외치는 절박한 선언은 이제 우리가 나아가야 할 곳이 어디인지 묻는다."
번아웃에 관한 농담,나온 씨어터,서울시 종로구 명륜동 1가 36-4,2023/08/25 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191659_01.250.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010852,연극,O,,,줄거리 없음,작품설명 없음
행오버,정극장 (구 M시어터),서울 종로구 동숭동 1-92 태원빌딩 3층,2023/01/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_183033_01.548.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005704,연극,O,,,줄거리 없음,작품설명 없음
사춘기 메들리,대학로 아티스탄홀,서울 종로구 동숭동 1-35 아티스탄홀,2018/03/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/02/0400011802_121864_0322.258.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21002176,연극,O,,,줄거리 없음," 
모든 일은 파라다이스 호텔 506호에서 시작된다.
남편(철수)의 외도를 알게 된 지연(부인)은 이벤트 업체를 이용해서 남편에게 사과를 받고 싶어한다.
이벤트 업체 대표 태민은 지연의 계획대로 철수에게 사과를 받아보려고 했지만,
만취한 철수는 지연을 506호에서 살해한다.
당황한 이벤트 업체 대표 태민은 철수를 급하게 507호로 옮기고 4시간만 대실한다.
술이 깬 철수에게 지난 밤 일을 설명하지만, 철수는 기억나지 않는다.
506호 살인 사건을 조사 중인 경찰이 507호를 방문하지만,
태민의 임기응변으로 위기를 넘긴다.
그런데, 507호에는 다른 2명이 더 있다.
초능력이 있다고 주장하는 508호 케이(남)
자살하기 위해 호텔을 찾은 509호 엠마(여)
케이와 엠마 두명 역시 술을 먹고 깨어보니 507호라는 황당한 말을 전한다.
507호에 만난 태민, 철수, 케이, 엠마!
만약, 경찰이 507호로 들이닥치면 4명 모두 공범이 되는 상황.
이런 말도 안되는 상황을 믿어 줄 경찰은 없다.
4명은 서로를 의심하며 서로에게 자백을 강요하기 시작하는데...
이들 4명에게 주어진 시간은 대실 4시간!
4시간 안에 모든 것을 밝혀내야 되는 상황에서
4명의 비밀이 하나씩 드러난다.
 "
늘근도둑 이야기,아트포레스트 아트홀 1관,서울특별시 종로구 동숭동 1-66,2022/03/05 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/02/0400012202_172169_01.910.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22001159,연극,O,,,줄거리 없음,작품설명 없음
시간을 파는 상점,파랑씨어터 (구.도향아트홀),서울 종로구 동숭동 1-57 3층,2017/06/17 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/17/06/0400011706_110360_0736.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012922,어린이/가족,O,,,"두 늙은 도둑의 노후 대책을 위한 마지막 한 탕! 그런데 하필 그 분의 미술관을…!

대통령 취임 특사로 감옥에서 풀려난 두 늙은 도둑이 마지막 한탕을 꿈꾸며 그 분의 미술관에 잠입하게 된다. 엄청난 부를 축적하고 엄청난 권위를 자랑하는 그 분의 미술관엔 세계적인 현대 미술가들의 작품이 소장되어 있지만 작품의 가치를 모르는 두 늙은 도둑은 그 분의 금고만을 노린다. 금고 앞에서 지난날을 회상하며 옥신각신 끊임없이 다투다가 결국 경비견에게 붙잡혀 조사실로 끌려간다. 있지도 않은 범행 배후와 있을 수도 없는 사상적 배경을 밝히려는 수사관과 한심한 변명 만을 늘어놓는 어리숙한 두 늙은 도둑의 대화는 점점 포복절도 웃음만….","어느덧 도둑질 33주년! 오늘도, 쉴 새 없이 턴다!
대한민국 No.1 오리지널 코믹극 연극 <늘근도둑이야기>

［View Point］ 
초단위로 빵빵 터지는 애드리브 맛집이 바로 여기!
관객과 소통하며, 함께 공연을 완성해나가는 연극의 재미와 웃음을 경험할 수 있는 대학로 유일무이 연극!

뻔한 로코가 지겨운 당신의 탁월한 선택!
부조리한 세상에 날리는 사이다 돌직구! 안타까운 세태를 꼬집는 통렬한 웃음!
흥행불변 대학로 코미디 연극의 오리지널이 돌아왔다!

환장 케미를 선사하는 환상의 콤비!
이성민, 강신일, 김원해 등 수많은 명배우들이 거쳐간 연극 <늘근도둑이야기>"
오백에 삼십,세우아트센터 1관,서울특별시 종로구 대학로12길 49 (동숭동 1-86),2022/03/01 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/02/0400012202_172343_01.935.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22001569,연극,O,,,줄거리 없음,작품설명 없음
조각,댕로홀 (구.두레홀 1관),서울시 종로구 동숭동 1-78번지 마로니 빌딩 지하,2016/11/19 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/16/11/0400011611_100970_0823.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22007314,연극,O,,,줄거리 없음,작품설명 없음
운빨로맨스,컬쳐씨어터,서울특별시 종로구 대학로8가길 80 (동숭동) 5층,2021/05/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/03/0400012103_164167_01.220.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21002623,연극,O,,,"비 내리는 어느 여름날, 한적한 시골마을에 은행 강도 사건이 일어난다.

용의자 희태와 순철은 경찰을 피해 가까스로 도주에 성공하고
사람들의 발길이 끊긴 허름한 폐가에 잠시 머물기로 하는데...
그 곳엔 이미 은행 여직원인 영희가 기다리고 있다.
우연인지 필연인지 모르는 상황에 영희는 알수 없는 말만 늘어놓는다.

낯설지만 낯설지 않은 공간
그리고 그 곳에서 일어나는 알 수 없는 일들

수수께끼처럼 얽혀있던 기억의 조각들이 하나씩 맞춰지기 시작하는데 ...","노약자나 임산부는 관람을 삼가주시기 바랍니다.
연이은 매진행진! 예매를 서두르세요!

대학로 중심부 최초 공포스릴러 전용관오픈
유료객석 점유율 91%
공포 연극 사상 최단 기간 관객 5만명 돌파

이런 분들께 추천합니다!
*데이트 코스 1순위
썸타고 있는 모든 대한민국 남녀의 진도 나가기 1순위

*밍숭맹숭~ 권태기에 빠진 연인들
처음 느낀 그 설렘으로 돌려 드립니다

*혼자라고 외로워 마라!
혼자 봐도 재밌는 공포연극 들어올 땐 싱글이었지만
나갈땐 커플이 될 수도 있습니다♡"
쇼팔다 미친 유령 극단,수유연극실험실,서울특별시 강북구 수유동 30-57 지층,2023/09/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191451_01.209.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010578,연극,O,,,줄거리 없음,작품설명 없음
슬기로운 신혼생활,아루또 소극장 (소담소극장),서울 종로구 동숭동 1-47 연경빌딩 4층,2022/04/07 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/04/0400012204_173723_01.801.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22003204,연극,O,,,"공연 당일까지 예매 관객이 한 명도 없어 길거리로 나와 연극 홍보를 감행하는 극단원들. 그러나 그들의 행위는 제대로 된 관심 하나 받지 못한다. ‘많은 관심’을 외치는 그들에게 마치 포기하기를 바라는 듯 칠흑 같은 ‘무관심’만 돌아올 뿐이었다. 

매정한 현실을 벗어나기 위해 그들의 ‘빛’이 있는 극장으로 향하지만 믿을 수 없는 일이 눈앞에 벌어진다. 마치 처음부터 아무것도 없었던 것처럼 극장이 사라진 것이다. 

이대로 공연을 포기하느냐, 그럼에도 올리느냐, 두 갈림길에 서게 된 그들에게 한 줄기 빛이 될 한 사람이 등장한다. 과연 그들은 무사히 공연을 올릴 수 있을까?","“정착하는 마음으로”

어떻게 해서든 정착을 해야겠다는 각오를 하게 된 이유가 있었습니다. 각박한 현실은 연극인이라는 정체성을 시도 때도 없이 뒤흔들곤 하였습니다. 첫 출발은 분명한 목표를 가지고 출발했다고 생각하였지만 정신차리고 보면 이 사회 속에서 그저 떠돌고 있는 유령이 되어있었습니다. 이대로 가다간 내 삶도, 연극인으로서의 삶도 흐려질 것만 같았기에 약간의 무모함과 케케묵었던 용기를 가지고 연극 공간을 만들고야 말았습니다.
 계약서에 서명을 한 뒤 문득, 빈 공간을 바라보니 그것 자체가 굉장한 큰 위안과 힘이 되었고, 무언가를 시도할 수 있다는 기대감과 상상력이 커졌습니다. 

 수유연극실험실을 만들어가면서 평소 생각지도 않았던 한 작품이 떠올랐습니다. 바로, 류보미르 시모비치의 <쇼팔로비치 유랑극단> 입니다. 먼 이야기로 느껴졌던 유랑극단의 삶과 정착하기 전 나의 삶과 겹쳐 보였습니다. 먹고 잘 수 있는 집이 있고, 돈을 벌 수 있는 직장도 있지만 연극을 하기 위해 두 발바닥 온전히 붙일 만한 곳을 찾지 못해 그랬을까요?

나는 어쩌면 현실판 유랑극단이 아니었을까? 

연극을 하고 싶었고 연극을 계속해서 해 나아가고 싶었으며 연극을 함께 만들어 갈 사람들이 필요했습니다. 지속 가능한 연극 작업을 원했던 간절함으로 수유연극실험실을 만들었고, 연극에 간절한 사람들을 불러 모은 이 마음을 개관 기념 공연에 담고 싶었습니다.

<쇼팔다 미친 유령 극단>을 직접 각색하였지만 이들이 연극하는 마음은 역할을 수행하는 실제 배우들의 마음으로 채워지길 바랍니다 이는 곧 수유연극실의 마음이기도 합니다. 이 뜨거운 마음을 지켜봐주시겠습니까?"
뷰티풀 라이프,JTN 아트홀 4관,서울 종로구 이화동 139번지 JTN아트홀,2018/02/20 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/02/0400011802_121174_0525.028.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18001569,연극,O,,,줄거리 없음,작품설명 없음
