showcode,date,rating,text
PF301821,2022.05.09,3,자리가 겹침 서로 티켓확인하니 같은자리 지프지기한테 얘기하니 인포센터가라함 전산솩인하니 인쇄가 잘못됐다고 줄긋고 수기로 적어줌 아마추어 같은 진행
PF301821,2022.05.09,5,"전주돔에서 정말 행복하도 완벽한 하루를 보내고왔습다.. 잊을 수 없는 추억 만들어주셔서 감사해요! 앞으로 매년 hand 페스티벌만 기다리ㅕ 살아야겠어요,, 좋아라는 가수분들의 공연을 볼 수 있어서 정말 정말 행복했답니댜,, 싸랑해요!!!"
PF301821,2022.05.09,4,"5월 5일,6일 라인업들이 색깔이 확고해서 좋았어요 :) 몰랐던 가수들도 알아가고 좋은 시간이었답니다. 살짝 아쉬웠던 점이라면 셔틀버스 운영부분에서 탑승장소가 바꼈는데 공지가 제대로 되지않은등 셔틀버스 운영부분에서 살짝 미숙한 부분이 보여서 아쉬웠습니다."
PF301821,2022.05.08,5,핸드에 다녀오고 플리에 노래가 늘어났어요 양일 다 갔다면 더 좋았겠지만 하루 다녀온 기억으로 한동안 행복할것같아요 ♡♡
PF301821,2022.05.08,5,5/5 공연 갔는데 정말 라인업 짱 ..! 공연이 영원히 끝나지 않았으면싶을만큼 너무 즐거웠고 행복했어요 !!! 떼창 환호 할수있어서 너무 좋아요
PF301369,2022.09.19,4,배우님들의 연기가 돋보였다. 다만 캐스팅보드가 없어서 아쉬웠음.
PF301369,2022.06.07,5,"곱씹을수록 씁쓸하고 생각할 거리가 많았습니다.
극중에 언급되는 책들의 내용과 그 의미가 나중에 극에서 전달하려는 메시지와도 연결되는 것 같아서 좋았습니다."
PF301369,2022.05.30,5,"한 번 더 관람하고 싶을 정도로 배우분들의 연기와 전체적인 연출, 감정선이 너무 좋았다."
PF301369,2022.05.30,5,초반엔 형사때문에 정신없이 웃다가 갈수록 숙연해지는 마음으로 관람했습니다 완급조절이 정말 좋았어요.. 나는 문식인가 경구인가 생각해보는 시간도 가질 수 있었습니다
PF301369,2022.05.18,5,상 탄 이유를 알겠던 공연이었습니다. 연출 상 타인에게 트리거가 될 만 한 장면도 있었고 그것이 꽤나 적나라하게 보여줌에도 불구하고 전반적으로 극을 이해하는 데에는 무리가 없었습니다. 형사와 선생님 간의 대화를 통해 여러 가지 생각거리를 던져 주는 공연이었습니다.
PF301369,2022.05.15,5,배움을 원하는 자 그리고 변하고 싶은 자. 복수를 원하는 자 그리고 아프고 싶은 자. 역시 명작옥수수밭 의 작품답게 110분이란 시간 동안 관객의 오감을 끊임없이 자극한다. 역시 명작옥수수밭 작품은 항상 옳다... 그리고 배우들의 연기는 찐이였다...
PF301369,2022.05.15,3,"몇몇 장면이 보기 좀 힘들긴 했지만, 공안 경찰이 수업 받는 부분은 잘 봤습니다. 독서와 글짓기 수업으로 인생이 변화한 경찰 캐릭터의 이후 삶이 궁금해졌습니다."
PF301369,2022.05.13,5,"연기도너무좋고극본도연출도너무좋았어요간만에몰입감넘치는연극의맛을제대로본것같아요,,..........."
PF301369,2022.05.09,5,"잔인한 장면이 있어 놀랐지만, 이야기가 군더더기 없이 잘 짜였고 전달력도 좋단 생각을 했습니다.
배우분들이 모두 연기를 너무너무 잘 하시네요!"
PF301369,2022.05.09,5,작년에 보고 인상깊었던 연극이라 올해에 개막한다는 소식을 듣고 바로 봤는데 역시나 너무 좋았습니다 배우분들의 연기에 압도되는 이 느낌이 너무 좋아요
PF301369,2022.05.09,5,꼭 기억해야할 역사의 한 부분을 그려낸 작품이 아닐까 싶다. 이 시대를 사는 사람들이 한번씩은 봐야하는 그런 작품. 잊으면 안 되는 과거의 기록.
PF301369,2022.05.08,5,타자기치는남자 타자기치는남자 타자기치는남자 근현대사를 흥미롭게 풀어냄. 처음 왔을 때 미리 한번 볼걸 그랬음. 앞으로 이 극단이 몇 번 더 가져올 것 같긴 해서 생각나면 챙겨볼 것 같다
PF301615,2022.11.08,5,내 첫콘이자 막콘ㅠㅠㅠㅠ돌아올떄까지 기다릴게ㅠㅠㅠㅠ
PF301615,2022.07.07,5,사랑아 돌아오면 밀린 사랑을 네게 남김없이 다다다 줄게
PF301615,2022.06.13,5,오랜만에 떼창이라 너무 즐거웠습니다. 역시 공연 존잘 김라비
PF301615,2022.06.07,5,아주 재미있고 즐거웠습니다 뗴창도 할수있게되서 스트레스도 풀리고 좋네요. 행복했어요
PF301615,2022.06.02,5,기다릴게. 이 자리에 그대로 있을테니까 불안해하지말고 잘 다녀와
PF301615,2022.06.01,5,어떤 말로 표현하든 너무 표현하기에 부족한 공연! 나의 첫 랍콘 정말 큰 행복을 느낄 수 있었다. 이래서 라비 좋아하지 라는 생각까지 했다. 심지어 다녀오는 길에 막콘 온라인스트리밍 결제를 할 정도로! 너무 사랑하고 이 자리에서 그대로 기다릴게!그리고 다시 만나는 그날 홀리데이로 꼭 맞아줄게 사랑해!!!
PF301615,2022.05.30,5,"말해뭐해 최고지, 항상 응원할게!! 사랑해!!!"
PF301615,2022.05.30,5,언제까지나 같은 자리에서 기다리고 있을게 ^^ 금방 또 봐 !
PF301615,2022.05.26,5,"떼창없는 랍콘.. 정말 걱정이 많았는데, 정말 미뤄진게 전화 위복이 되었어요.
너무 오랬만에 공연장에서 소리도 지르고 노래도 부르고 행복한 시간이었습니다."
PF301615,2022.05.25,5,"""이 순간 함께여서 행복해, 여기서 기다릴게 REVOIR"" 란 문구처럼 잊지않고 기다릴테니까 우리 다시 꼭 만나자!!!! 르브아 너무 행복했고 소중하고 예쁜 추억 만들어줘서 고마워 김원식 사랑해 ♥"
PF301615,2022.05.23,5,기다리고있을테니까 잊지말라는말 하지마 ㅠㅠㅠㅠㅠㅠ
PF301615,2022.05.19,5,"언제나 믿고 보는 RAVI의 콘서트!!!
r로 시작하는 단어 중 ravi 외에 또다른 뜻깊은 의미가 있는 단어가 무엇일까 고민하다가 REVOIR라는 단어를 찾았는데, 이 뜻이 [다시 만나다, 재회하다]라고 하더라구요. 콘서트가 끝난 지금도 여운이 아직 가시질 않는데, 이 뜻을 새기면서 다시 만날 그날을 기다리려구요. 랍콘은 두 번 보고, 세 번 봐도 재미있는데 혹시 앵콜 없을까요 사장님!!! 올콘 갑니다 저!!"
PF301615,2022.05.19,5,말해뭐해 김라비 하고 싶은거 다 해!!!!! 진짜 오랜만에 떼창해서 행복했다!!!
PF301615,2022.05.17,5,라비하면 함성콘이지 다시 가고싶은심정이에요 라비야 오래가자! 이기자! 사랑해!!!
PF301615,2022.05.17,5,"함께라서 정말 즐겨웠고 행복했어
우리 또 보자
사랑한다"
PF301615,2022.05.17,5,너와 함께한 2시간이 순간이 아니라 영원이 되도록 기다리고 사랑할께!
PF301615,2022.05.17,5,"너무 오랜만이라 무대 하나하나 눈에 담아두며 봤어요ㅠㅠ 영원히 잊지 못할 공연 만들어줘서 너무 고맙고, 다음 공연에서 Holiday 떼창하는 그날까지 기다릴게요!!"
PF301615,2022.05.17,5,"너무 오랜만에 보는 공연이라 공연 시작부터 울컥했고, 나 이래서 김라비 좋아하지 다시 한번 깨닫게 되는 공연이였다:)"
PF301615,2022.05.16,5,"나는 언제나 너가 행복하길 바라고,
우리 곁에서 언제나 음악과 함께하길 바라고
그 모든 순간에 우리가 함께이길 바라 :) 사랑해 김원식!"
PF301615,2022.05.16,5,"2년이 넘는 시간동안 그리워했던 이 공간에 함께여서 행복했고,
앞으로도 함께일거라는 믿음을 다지고 간 순간이었어. 사랑해 김라비!
REVOIR"
PF301615,2022.05.15,5,실물 처음본 공연이였는데 얼굴 너무작고 잘생기고ㅜㅜㅠ 그렇게 뜨거운 열기를 느낄 수 있어서 너무 좋았어요. 다음에도 꼭 만나자!
PF301615,2022.05.15,5,천국이었다 극락이었다 라비최고야 또보자!!!!!!!!
PF301615,2022.05.14,5,가는 시간이 너무 아쉬웠고 막콘날 입은 의상 너무너무 예뻤어요ㅠㅠ 우리 같이 꽃밭 부른 그 시간 잊지 못해ㅠㅠㅠ
PF301615,2022.05.14,5,떼창할 수 있어서 너무 행복했던 시간들ㅠㅠㅠ 진짜 너무 오랜만인 공연이었는데 같이 호흡하고 놀 수 있어서 정말 행복하고 즐거웠어요!
PF301615,2022.05.14,5,"얼마만에 보는 실물 라비고, 얼마만에 지르는 함성이었는지 시작하자마자 눈물이 핑 돌더라니까요?ㅠㅠ"
PF301615,2022.05.14,5,3년만에 콘서트를 보러갔더니 시작부터 눈물이 났어요 당분간 또 못 보겠지만 기다릴게 또 만나
PF301615,2022.05.14,5,첫콘엔 괜히 찡해서 눈물 줄줄 흘렸는데 막콘은 그래도 더 신나게 뛰고 즐겼어요 라비가 저렇게 불사지르는데 같이 놀아야지 ㅋㅋㅋ 2년 만에 처음으로 크게 떼창하며 불러본 신곡들도 너무 좋았고 그리운 곡들 다시 함께 부를 수 있어서 좋았어요 그리운 만큼 더 많이 듣고 더 자주 생각하며 기다릴게
PF301615,2022.05.14,5,코로나로 긴 시간 콘서트를 못하다가 드디어 드디어 열린 랍콘! 기다렸던 만큼 더 벅차고 찡하고 행복했어요 2시간 꽉 채워 불태우고 행복하게 해준 라비한테 고맙고 일주일 전이라는 게 안믿기네요 오늘도 떼창하며 뛰어야 할 것 같은데.. 곧 다시 또 만날 테니까 모두 건강히 잘 지내다 REVOIREVOIREVOIR~
PF301615,2022.05.14,5,"막콘이라 공연 더 해준 라비... 난 널 사랑할거야 절대!!♥♥♥
REOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIREVOIR..........."
PF301615,2022.05.14,5,아직도 귀에 맴도는 워어어어 워어어어어~~ 왜 오늘은 르브아가 아닌거죠?
PF301615,2022.05.14,5,너무 재밌었습니다! 또 르브아 가고싶네요 보내주세요!
PF301615,2022.05.13,5,너무 재밌었어요! 시간 가는 줄 모르고 뛰어 놀다 왔네요
PF301615,2022.05.13,5,말해 뭐해.. 최고.. 또가고싶어... 너무 행복했고 즐거웠고.. 눈물날뻔
PF301615,2022.05.13,5,말해뭐해 떼창가능 랍콘 최고였습니다 ㅠㅜㅠㅠ
PF301615,2022.05.13,5,"올콘으로 다녀왔어요
행복하게 소리질러본게 3년만이고, 너무 오랜만에 만나서
눈물나는 시간이였습니다

하지만 뇌리에 박히도록 미친떼창해주고왔어요
하아.. 또 가고싶다 리브아"
PF301615,2022.05.13,5,콘서트는 역시 올콘~! 올콘 갔는데도 더 가고 싶다~~
PF301615,2022.05.13,5,역시 믿고 가는 김라비~ 르브아 넘 재밌었다~~ !!!
PF301615,2022.05.13,5,진짜 오랜만에 콘서트이여서 그런지 최고였어여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
PF301615,2022.05.13,5,나 아직 르브아야 5월 7일 8일에 있어 하 원식아 보고싶고 사랑하고 꼭 다시만나자
PF301615,2022.05.13,5,아직도 가자! 소리만 들으면 워어어어어ㅓ어ㅓㅓㅓ 워어어어ㅏㅏㅏㅏㅏㅓㅓ 흥얼거립니다 이거.. 책임져야하는거 아닌가요?? 워어어어ㅓㅓㅓㅓㅓ 워리어어ㅓ~~
PF301615,2022.05.13,5,앵콜 이랑 앵앵콜 해주세요 진지합니다 왜냐구요? 아직도 귓가에 워어어어 워어어ㅓㅓㅓㅓㅓ 이소리만 들리거든요? 다른것도 들리고싶어요 당장치료가 급합니다!
PF301615,2022.05.13,5,"나는 아직도 르브아 ing . . 중이다
이게 행복이지. .. . . !!!!
다시 가고 싶다"
PF301615,2022.05.13,5,"라:앵콜 콘서트
비:해주세요
짱:월요일 아침 10시여도 제가 갈게요"
PF301615,2022.05.13,5,"쩔어주는 라이브
파워풀한 댄스
들썩들썩거리게 만드는 무대매너"
PF301615,2022.05.13,5,얼마만의 공연인지ㅠㅠㅠ 많은 곡과 다양한 퍼포먼스 최고! 너무 신나서 일어나서 보기도 했는데 오랜만에 느껴지는 신남이여서 너무 즐거웠고 앵콜공연도 했으면 좋겠어요!
PF301615,2022.05.13,5,"다시 돌아가고 싶습니다
살려주세요 현생을 살아갈수가 없어"
PF301615,2022.05.13,5,"김라비
무형문화재 지정 요망
공연장인으로
제발요"
PF301615,2022.05.13,5,"최고의 공연
1년에 365회 개최해야함
내가 맨날 간다"
PF301615,2022.05.13,5,"아직도,,, 여운이 안가셔,, 김원식 책임져"
PF301615,2022.05.12,5,손 높이 들며 떼창에 신나게 노느라 목소리도 가고 온몸이 아프지만 행복한 고통이었다. 다같이 다시 놀고 싶다!! 르브아 못잊어 ㅠㅠ
PF301615,2022.05.12,5,르브아 다시 가고 싶다 ㅠ 김라비 진짜 공연 잘해????????????????떼창도 같이하고 너무 행복했어요.
PF301615,2022.05.11,5,아직도 르브아에서 못벗어났습니다ㅠㅠ 나 왜 지금 르브아 아니지???ㅜㅜㅜㅜㅜㅜ 너무 행복했어서 다시 또 돌아가서 즐기고 오고싶어요ㅠㅠ
PF301615,2022.05.11,5,"2년 넘게 코로나 때문에 공연도 못 하고, 코로나 때문에 한번 취소되었다가 다시 재개하는 아픔이 있었지만 그만큼 행복한 콘서트였습니다. 라비가 이번 콘서트를 2년을 준비했다고 했는데 정말 그만큼 멋지고 신나는 공연이었어요. 군복무 하기 전 국내에서 하는 마지막 공연일 것 같은데, 몇년후에 또 다시 콘서트로 만날 날을 기대해봅니다!"
PF301615,2022.05.11,5,역시 랍콘은 랍콘이다. 특히 이번엔 노래를 정말 꽉 채워서 셋리스트만 봐도 대단하다는 소리가 절로 나온다. 그만큼 보여주고 싶은 무대가 많았을거고 팬으로 보고싶은 무대를 많이 볼 수있어서 좋았다!
PF301615,2022.05.11,5,얼마만에 콘서트인지 기억도 안난다. 마지막 랍콘이 2019 릴리즈파티였던거 같다. 시국이 시국인지라 몇번의 취소만에 겨우 만났다. 역시 최고였고 잊지말라고 말했는데 잊을 수 없는 공연이였다. 이런 공연을 어떻게 잊어ㅎ
PF301615,2022.05.11,5,3년만에 다시 한 콘서트지만 그간 쉬었다는게 무색할정도로 너무 신나고 즐거웠던 공연이였습니다. 다같이 부르는 떼창으로 이게공연이지 를 피부로 느낄 수 있었고 성량 발성 딕션 그냥 모든게 완벽했던 무대였어요!
PF301615,2022.05.10,5,"진짜 르브아,,,,내 인생에 잊지 못할 콘서트가 될것 같아 정말 나 2년간 준비 했다고 한거 듣고 놀라고 진짜 콘서트 보고 서 2년간의 노력과 결실에 깜짝 놀랐고 진심으로 무대 보면서 감동 나 오지게 기다린 보람 너무 있어 진짜 정말 많이 사랑해 라비야 고마워 너무너무"
PF301615,2022.05.10,5,오랜만에 떼창에 너무 즐거웠습니다. 행복한 시간이었어요
PF301615,2022.05.10,5,정말 오랜만의 랍콘이라 기대가 많이 됐었는데 기대 이상이었고?? 떼창이 가능했어서 너무 행복했어요.... 정말 사랑훼...
PF301615,2022.05.09,5,라비 콘서트는 무조건적으로 뛰어야하는 내 에너지 오랜만에 떼창해서 너무너무 행복했다 진짜 라비는 제 자부심이에요 자부심이란 단어도 라비덕분에 알았고요 행복한 하루 만들어줘서 고마웠어요!
PF301615,2022.05.09,5,오랫만에 보는 콘서트공연이라 많이 설레였습니다.라비님 참 멋있고 훌륭한콘서트 잘보았습니다.다음 또만날것을 기약해보며
PF301615,2022.05.09,5,2년반동안 랍콘없이 살았는데 이제서라도 볼수있어서 기쁘면서도 보고싶었던날들 생각하면 눈물이 나기도 하는ㅠ 비록 2년동안 공백기가 곧 있겠지만 이맘 변지않고 잘 기다리고 있을테니까 다시 꼭 돌아와주기~
PF301615,2022.05.09,5,후회없는 선택이었다. 효도 대신 라비를 택했다. 원식이가 고맙다고 그랬고 나는 그 말에 웃었다 괜찮아. 내놓은 자식이야 라고 차마 말은 못 했다. 근데 정말 내놓은 자식 맞아....^^ 김원식 사랑해 . 잇츠 홀리데이 !!!
PF301615,2022.05.09,5,2년 4개월만에 콘서트 너무 그리웠던 내 사랑을 만나서 너무 행복했다. 처음부터 끝까지 원식이 덕에 행복했다. 우리 언제 또 봐? 보고싶어. 원식아 사랑해 . 평생 안 잊을게
PF301615,2022.05.09,5,김원식 사랑해!!!! 기다리고있을게!!! 다시만나는날 또 홀리데이 들려줘!! 그동안 열심히 연습해서 그때는 떼창으로 들려줄게!!!
PF301615,2022.05.09,5,기냥 다 찢을 수 있는거 다 찢었다고 보시면 됩니다. 눈감고 자려고하면 머릿속에서 노래가 흘러요 !!! 또 만나서 다 찢자♥♥♥
PF301615,2022.05.08,5,진짜 미쳤음 ㅠㅠㅠㅠ 최고 함성 최고 라비 최고. 최고라는말밖에 없어요 오늘또 어렵게 표 구해소 가는데 빨리 보고싶어요
PF301615,2022.05.08,5,코로나 방역해제로 함성도 지를 수 있게되고 오랜만에 너무나도 즐겁고 최고의 무대였습니다 ㅠㅠ 라비 최고예요 또 공연 해주세요 흑흑 최고
PF301615,2022.05.07,5,너무 고대했던 르브아ㅠㅠㅠ 너무 최고야ㅠㅠ?????????????? 잊지않을게요ㅠㅠㅠ 넘 행복했어ㅠㅠㅠㅠ
PF300853,2022.06.28,5,고양에서 하길래 예매해서 보여드렸는데 진짜 좋아하셨어요. 특히나 신영숙 댄버스 최고라고 넘 좋아하시네요. 녹막심도 멋지고 혜영 이히도 귀엽다고 하셨음.
PF300853,2022.06.14,5,충무에서 할때 여러번 보지못했던게 아쉬워서 못봤던 녹막심과 임나페어를 보러 고양까지 출동. 댄버스는 항상 신댄고정. 공연장이 충우보다 무대가 크고깊어서 4열임에도 넘멀었고 극장음향이 웅웅대는 느낌이었지만... 넘좋은 공연이었어요. 변함없이 소름돋고 왔습니다. 신댄. 녹막심 성량으로 그 음향마저 깨줘서 그저감사. 다음시즌에도 레베카는 꼭한번은 볼거같아요. 그땐 후회없이 서울에서 많이보는걸로..
PF300853,2022.06.13,5,"3번째 옥댄버 관람했어요~
너무좋았어요 ㅠㅠ"
PF300853,2022.06.13,5,"뮤지컬 처음보는 친구들 데리고 다녀왔어요~
다들 너무 만족해서 뿌듯했습니다.
다음시즌에도 또 볼거에요!"
PF300853,2022.06.11,5,중학생 아이는 생애 처음 보는 뮤지컬... 고양시에 오는 레베카를 선택했어요. 멋진 작품에 멋진 뮤지컬 넘버..멋진 배우들이 함께하니 예술이었습니다!!
PF300853,2022.06.02,5,음향이 조금 아쉬웠습니다 ㅜㅜ 대사일 때는 괜찮았는데 넘버에서 목소리가 음악에 묻혀서 가사 전달이 잘 안된 감이 없지 않나 있네요.. 하지만 옥댄버는 역시 기대 이상이었습니다! 레베카 짱짱
PF300853,2022.06.02,5,고양시까지 정말 여행가듯 먼거기를 갔는데 전혀 후회없는 공연이었어요. 옥댄버는 정말 내내 소름이 끼치더군요. 공연중에 넘버가 끝났을뿐인데 길고 큰 함성소리 너무 좋았어요. 코로나가 거의 끝나가는구나 싶었습니다. 너무 잘봣고 고생하셨습니다.
PF300853,2022.06.02,5,레베카를 드디어 실물로 영접하게 되어서 설레는 마음으로 가서 봤는데...옥주현님 완전 대박입니다ㅜㅜ!! 듣다가 감동 받아서 두손을 꼭 잡고 봤어요
PF300853,2022.05.31,5,"서울 이외 지역 투어 해주셔서 넘 좋아요.
옥댄버를 영접할 수 있어 행복했습니다."
PF300853,2022.05.30,4,"옥댄버는 최고지만 음향이 진짜..
대사할때는 괜찮으나 넘버에서 진짜 꽝이었음
목소리가 음악에 묻혀서 가사는 안들리고 계속 웅얼웅얼
김경선님과 옥댄버만 잘들리고 나머지는 거의 최악이었음
배우님들 마이크소리를 더 키우던지 ㅜㅜ 정말....
우리나라가 뮤지컬이 이렇게 활성화되어있는데 음향이정도라는게 넘아쉬움 ㅠㅠ"
PF300853,2022.05.30,5,처음 1열 앉아봤는데 지방공이라 오피를 안열어서 실 1열이는데 잘 보이고 잘 들리고 무척 좋았어요 옥댄의 자신감있는 노래 좋았고 박지연의 안정적인 연기와 노래도 인상깊었습니다 행복한 시간이었고 즐거웠어요
PF300853,2022.05.29,1,"요근래 본 공연 중 가장 만족도가 떨어지는 공연이었습니다..
저는 4층에서 보긴했지만, 대극장을 다 메우지 못하는 음향이었어요. 1막 시작했는데 정말 하나도 안들려서 당황했습니다. 소리가 앞쪽으로만 웅웅댔어요.
저만 공연 내용이 안들리는게 아닌지 인터미션에 주변 객석에서 다 불만소리가 나오더라구요.
이런 음향에 막심 역 배우님까지 대사며 넘버며 전달이 하나도 안됐어요.

그럼에도 불구하고 제가 남기는 별 하나는 오로지 옥주현 배우님 것입니다..
혼자서만 4층까지 정확히 대사와 넘버가 전달되었습니다. 최고였습니다.

그리고 주최측에 아쉬운 게 있다면 분명 8세 미만은 공연 관람불가라 하셨는데
확인하신건지 궁금합니다. 아이들이 꽤 많았는데 가뜩이나 안들리는 공연에 계속 방해받았었거든요.
따로 인터미션 때 어셔분께 전달드려도 아무런 조치가 없었습니다..."
PF300853,2022.05.29,4,이대로 레베카 보내기에 너무 아쉬워서 일산을 다녀왔습니다. 캐슷보드는 대전공연처럼 출력해서 붙여놓은게 다지만 배우들이 정말 열심히 공연해서 만족하지만 op구역까지 배우들이 안나오니 1열을 잡아 좋아했지만 충무아트센터 3열보다 더 먼느낌이었어요. 스모그가 덮어 조금은 답답했지만 신댄 최고 보여줬고 녹막심 하트도 너무 좋았습니다.
PF302320,2022.12.31,4,중간중간 어떻게 사람들의 공감을 얻을 수 있을지를 잘 아는 뮤지컬이네요. 이 사회학적인 뮤지컬이 실질적인 현실의 변화에 기여할 수 있기를
PF302320,2022.11.22,5,왜 유명한지 알겠는 뮤지컬 ! 최고였어요 연출도 연기도 음악도 모두 ! 특히 주인할머니 역할 배우분의 연기는 더더욱 최고최고 ! 앞으로도 오랫동안 계속 해주셔요~^^
PF302320,2022.11.14,5,서울에 자취하는 직장인으로 너무너무 공감하고 힐링하고 갑니다.
PF302320,2022.11.07,5,너무너무너무 재밌었어요 처음부터 눈물나고 끝에는 마음이 따뜻해지는 뮤지컬이었습니다.
PF302320,2022.11.05,5,극 자체는 좋네요. 힐링극이네요. 다음에는 다른 배우로 보고 싶어요.
PF302320,2022.10.25,5,"배우님들 연기도 훌륭하고 내용도 재밌는데 감동까지 있어요 ㅠㅠ
또 볼거에요 진짜 재밌어요..."
PF302320,2022.09.11,5,가족단위로 많이 오시네요. 달동네얘기. 14세 이상인 이유가 있더군요. 노래할때는 진짜 콘서트같아요~^^ 처음보는 뮤지컬에 소름돋았어요~^^
PF302320,2022.07.25,5,"정말 오랜만에 보는 연극인데 충분히 재미있었다.
앞좌석이라 목이 아픈게 조금 미스였지만 배우간의 합이 굉장히 좋았고 다음에 한 번 더 볼 의향이 있는 연극이다."
PF302320,2022.07.21,4,"배우님들의 공연을 많이 하신 듯한 연기력과 내용도 좋고 노래도 좋고
오래간만에 좋은 공연 한편 보고 왔습니다."
PF302320,2022.07.10,5,"티비를 보다가 알게되어 어머니를 모시고 보러간건데, 다음에 한번더 보고싶다는 마음이 들정도로 재미있고 감동적인 좋은 공연이었다고 하시네요~"
PF302320,2022.07.01,5,재미와 감동을 모두 충족시켰습니다. 주변에 적극 추천했어요~
PF302320,2022.06.30,5,"없으면 섭섭하고 늘 생각나는 작품. 특히 요새처럼 꿉꿉한 날이면, 빨래의 오밀조밀한 무대속 사람내음새나는 사람들의 꿈과 삶에 울고 웃다보면 어느새 햇빛에 잘 마른 빨래처럼 따스한 온기에 마음이 따사로워진다"
PF313349,2023.07.18,5,더 든든해져서 돌아온 차학연 최고최고! 할미팬은 행복합니다.
PF313349,2023.05.25,5,2023 아차 기념 다시 왔다!! 이번에도 행복한 기억 많이 만들자 짜굔 ~!! ♡
PF313349,2023.03.09,5,예사홀 작아서 뒷블럭에서도 잘보였어요!! 앞으로 노래 많이 불러줬으면ㅜ
PF313349,2023.01.09,5,3년만에 만난 오ㅃㅏ는 정말 최고였고ㅠㅠ 보고시퍼요 또! 조선변호사 화이팅
PF313349,2022.07.28,5,"너무 즐겁고 행복했던 기억
차학연이라는 사람이 얼마나 이 팬미팅을 위해 많은 것을 준비하고 기다려왔는지 느껴져서 너무 좋았어요"
PF313349,2022.07.14,5,너무 행복했어요 ㅠㅠ 학연 오빠도 너무나 친철하시고ㅠㅠㅠ 소중한 추억이 됐어요~~
PF313349,2022.07.11,5,엄청난 행복이였다..잊을수없다... 다음에는 모든 시간 팬미팅 도전이다..
PF313349,2022.07.07,5,"학연아 넌 최고야 ㅠㅠㅠㅠㅠ 너무 즐겁고 행복했고 고마웠다...
또만나."
PF313349,2022.07.07,5,"차학연 돌아왔다.. 팬미팅 또 해 ....
제발 보여줘"
PF313349,2022.07.07,5,"차학연 빨리 당장 얼른 어서 팬미팅을 또 열어주길 바라
행복했다!!!!!!!!!!!!!"
PF313349,2022.07.07,5,그래서 또 다시 돌아온 아차학연 언제 한다구요....? 보고 오니까 더 보고싶어졌어요 정말 이 무대 천재만재 강아지를 어쩌면 좋아 ㅠ
PF313349,2022.07.06,5,"다른남자가 생겨서 볼까말까 오백번 고민하다 갔는데 즐거운 재결합을 하고 왓습니다...
행복했어요..오빠 오백년동안 아이돌 해주시고 시간날때 저랑 결혼해주세요"
PF313349,2022.07.06,5,너무 좋아요... 오랜만에 만났음에도 어제 만난 것같은 편안함과 따듯함.... 내 가족을 다시 만난 것 같은... 그런 느낌... 구성도 너무 알차고 팬들이 보고싶어하는 거 다 알고 준비한 느낌이라 또 사랑 충전 가득 하고 왔습니다 또 보고싶다.......차학연........ 지금 당장......... 만나자........
PF313349,2022.07.05,5,자리가 멀어서 안보일까 걱정했는데 생각보다 공연장 안이 작아서 뒷자리인데 불구하고 엄청 잘보였다 사운드도 좋고 모든게 좋았다
